CONTROLE DE CAIXAS PARACATU - MG 2025;;;;;;CONTROLE DE CAIXAS PARACATU - MG 2025;;;;;;CONTROLE DE CAIXAS PARACATU - MG 2025;;;;;;CONTROLE DE CAIXAS PARACATU - MG 2025;;;;;;CONTROLE DE CAIXAS PARACATU - MG 2025;;;;;;CONTROLE DE CAIXAS PARACATU - MG 2025;;;;;;CONTROLE DE CAIXAS PARACATU - MG 2025;;;;
RIO BONITO BRASIL 4,5 KG ;;;;;;DELICIA 4,5 KG;;;;;;SUMMER TASTE 7,5 KG;;;;;;THE BEST 7,5 KG ;;;;;;DELICIA 7,5 KG;;;;;;DELICIA 10 KG ALTA (12KG);;;;;;TROP SUN 7,5KG;;;;
 ENTRADA ; SAIDA ;SALDO ;DATA ;ESTOQUE CX PARACATU;; ENTRADA ; SAIDA ;SALDO ;DATA ;ESTOQUE CX PARACATU;; ENTRADA ; SAIDA ;;DATA ;ESTOQUE CX PARACATU;; ENTRADA ; SAIDA ;SALDO ;DATA ;ESTOQUE CX PARACATU;; ENTRADA ; SAIDA ;SALDO ;DATA ;ESTOQUE CX PARACATU;; ENTRADA ; SAIDA ;SALDO ;DATA ;ESTOQUE CX PARACATU;; ENTRADA ; SAIDA ;SALDO ;DATA ;ESTOQUE CX PARACATU
;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;
3090;;3090;18/06/2025;;;1548;;1548;20/06/2025;;;930;;930;27/06/2025;;;400;;400;27/06/2025;;;400;;400;27/06/2025;;;810;;810;27/06/2025;;556 cx  10kg estoque es;20;;20;18/07/2025;
;1260;1830;18/06/2025;;;;1548;0;25/06/2025;;;;360;570;03/07/2025;;;;;400;;;;1020;;1420;18/07/2025;;;1000;;1810;04/07/2025;;;;360;-340;23/07/2025;
;1386;444;23/06/2025;;;;;0;;;;;540;30;10/07/2025;;;;180;220;06/07/2025;;;;360;1060;23/07/2025;;;;540;1270;06/07/2025;;;;360;-700;01/08/2025;
;;444;;;;;;0;;;;430;;460;18/07/2025;;;700;;920;18/07/2025;;;;360;700;01/08/2025;;;;720;550;10/07/2025;;;500;;-200;08/08/2025;
;;444;;;;;;0;;;;;360;100;23/07/2025;;;;360;560;01/08/2025;;;;600;100;07/08/2025;;;600;;1150;18/07/2025;;;;360;-560;20/08/2025;
;;444;;;;;;0;;;;8035;;8135;01/09/2025;;;;480;80;07/08/2025;;;1200;;1300;08/08/2025;;;;135;1015;20/08/2025;;;;180;-740;04/09/2025;
;;444;;;;;;0;;;;;;8135;;;;800;;880;08/08/2025;;;;360;940;14/08/2025;;;4866;;5881;01/09/2025;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;720;160;14/08/2025;;;;540;400;20/08/2025;;;;450;5431;04/09/2025;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;6000;;6160;01/09/2025;;;;300;100;04/09/2025;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
;;444;;;;;;0;;;;;;8135;;;;;;6160;;;;;;100;;;;;;5431;;;;;;-740;;
